image_url,local_path,breed
http://vision.stanford.edu/aditya86/ImageNetDogs/images/n02107908-Appenzeller/n02107908_2534.jpg,data/images/n02107908_2534.jpg,Appenzeller
http://vision.stanford.edu/aditya86/ImageNetDogs/images/n02107908-Appenzeller/n02107908_2809.jpg,data/images/n02107908_2809.jpg,Appenzeller
http://vision.stanford.edu/aditya86/ImageNetDogs/images/n02107908-Appenzeller/n02107908_3188.jpg,data/images/n02107908_3188.jpg,Appenzeller
http://vision.stanford.edu/aditya86/ImageNetDogs/images/n02107908-Appenzeller/n02107908_4473.jpg,data/images/n02107908_4473.jpg,Appenzeller
http://vision.stanford.edu/aditya86/ImageNetDogs/images/n02107908-Appenzeller/n02107908_585.jpg,data/images/n02107908_585.jpg,Appenzeller
http://vision.stanford.edu/aditya86/ImageNetDogs/images/n02107908-Appenzeller/n02107908_7443.jpg,data/images/n02107908_7443.jpg,Appenzeller
http://vision.stanford.edu/aditya86/ImageNetDogs/images/n02107908-Appenzeller/n02107908_91.jpg,data/images/n02107908_91.jpg,Appenzeller
http://vision.stanford.edu/aditya86/ImageNetDogs/images/n02107908-Appenzeller/n02107908_671.jpg,data/images/n02107908_671.jpg,Appenzeller
http://vision.stanford.edu/aditya86/ImageNetDogs/images/n02107908-Appenzeller/n02107908_6567.jpg,data/images/n02107908_6567.jpg,Appenzeller
http://vision.stanford.edu/aditya86/ImageNetDogs/images/n02107908-Appenzeller/n02107908_5654.jpg,data/images/n02107908_5654.jpg,Appenzeller
http://vision.stanford.edu/aditya86/ImageNetDogs/images/n02107908-Appenzeller/n02107908_5534.jpg,data/images/n02107908_5534.jpg,Appenzeller
http://vision.stanford.edu/aditya86/ImageNetDogs/images/n02107908-Appenzeller/n02107908_4296.jpg,data/images/n02107908_4296.jpg,Appenzeller
http://vision.stanford.edu/aditya86/ImageNetDogs/images/n02107908-Appenzeller/n02107908_3720.jpg,data/images/n02107908_3720.jpg,Appenzeller
http://vision.stanford.edu/aditya86/ImageNetDogs/images/n02090622-borzoi/n02090622_10355.jpg,data/images/n02090622_10355.jpg,Borzoi
http://vision.stanford.edu/aditya86/ImageNetDogs/images/n02090622-borzoi/n02090622_10607.jpg,data/images/n02090622_10607.jpg,Borzoi
http://vision.stanford.edu/aditya86/ImageNetDogs/images/n02090622-borzoi/n02090622_1253.jpg,data/images/n02090622_1253.jpg,Borzoi
http://vision.stanford.edu/aditya86/ImageNetDogs/images/n02090622-borzoi/n02090622_3615.jpg,data/images/n02090622_3615.jpg,Borzoi
